,0,1,2
622,Iowa,Humboldt,2798487.510331385
668,Iowa,Wayne,100398.40892417773
725,Louisiana,West Feliciana,36314.18450344401
1583,Texas,Dallas,13043.847881301013
1015,Nebraska,Antelope,13320.951011006488
310,Georgia,Clay,31815.95437667748
543,Illinois,Montgomery,12930.740888935139
1558,Texas,Camp,83462.2112243442
12,Alabama,Clarke,21449.17126295201
892,Mississippi,Tate,5407316.284345926
1285,Ohio,Paulding,12770.079082162021
444,Idaho,Bingham,33939.87030755243
225,Florida,Charlotte,3887.097278963696
1684,Texas,McCulloch,70166.5671997737
1230,Ohio,Brown,17988.305600889576
1246,Ohio,Fayette,88991.90395900057
1324,Oklahoma,Cleveland,17780.628442083507
325,Georgia,Dooly,12677.688577633227
719,Louisiana,Vermilion,27037.536563155798
1072,Nebraska,Madison,3625.393529145036
772,Michigan,Grand Traverse,132114.88893846932
851,Mississippi,Humphreys,90385.69554582598
569,Illinois,Washington,685613.0893319856
572,Illinois,Whiteside,9106.315381209328
128,Arkansas,Montgomery,9788.770938156169
621,Iowa,Howard,24027.524888827204
60,Alabama,Tuscaloosa,75685.29329636072
53,Alabama,Pike,26485.40044127354
1256,Ohio,Harrison,80376.86679439743
889,Mississippi,Stone,829824.6846312535
943,Missouri,Greene,16712.7700163595
291,Georgia,Bibb,42018.34343892305
34,Alabama,Jackson,62067.86180139112
1029,Nebraska,Cherry,21219.882523171353
769,Michigan,Genesee,119600.88525556604
1152,North Carolina,Davie,11592.737362607033
1373,Oklahoma,Pushmataha,13688.766874218793
1767,Texas,Wichita,17746.219842070335
1633,Texas,Hidalgo,44790.56312021767
689,Louisiana,Concordia,297093.7078420229
1446,Tennessee,Clay,4869.013748152652
986,Missouri,Pike,650.875571892573
1675,Texas,Loving,145369.51789629733
1173,North Carolina,Johnston,291381.822415917
1160,North Carolina,Graham,10101.069636654755
433,Georgia,White,21778.85995011968
956,Missouri,Knox,156401.03705411896
1775,Texas,Yoakum,47857.157653598995
427,Georgia,Ware,369.551621427986
1620,Texas,Hale,1722034.8299767834
879,Mississippi,Perry,8781.770618175035
418,Georgia,Towns,95330.46856482803
833,Mississippi,Carroll,1531595.2865514546
1909,Virginia,Sussex,3763.68210804183
820,Michigan,Shiawassee,790888.3333085111
449,Idaho,Boundary,21862.504398903726
1521,Tennessee,Washington,5712.76629774114
1402,South Carolina,Darlington,9390.102391392747
583,Iowa,Black Hawk,8482.800264467087
322,Georgia,Dawson,125333.3735183955
1098,Nebraska,Thayer,656188.2694542318
1234,Ohio,Clark,15396.105348384648
924,Missouri,Cass,112494.6155918751
1750,Texas,Tom Green,12824.084691770766
1915,Virginia,Wise,20818.315340365443
575,Illinois,Winnebago,9289.046656579483
1340,Oklahoma,Harper,36534.10531859032
809,Michigan,Ogemaw,199698.54891324224
597,Iowa,Clay,411330.39568781306
1658,Texas,Kerr,486753.08871069306
1614,Texas,Gonzales,37562.50554107009
932,Missouri,Cooper,145402.69315062952
1054,Nebraska,Hamilton,205628.70242383739
1039,Nebraska,Dixon,447887.5459844632
411,Georgia,Tattnall,114609.92217117967
407,Georgia,Stewart,270824.4846707913
429,Georgia,Washington,18388.33372546818
991,Missouri,Ralls,16904.72594155906
147,Arkansas,Stone,42647.427029244114
214,Colorado,Teller,7810.819028737763
1572,Texas,Comal,33444.19163519407
495,Illinois,Clinton,37814.98424156826
321,Georgia,Dade,226087.94906830663
1240,Ohio,Cuyahoga,29067.135647998497
1925,New Hampshire,Rockingham,29676.953237193087
1460,Tennessee,Grainger,34641.27825000022
1180,North Carolina,Martin,212487.8863801299
1595,Texas,Edwards,16345.46984674818
201,Colorado,Park,4407.267669867241
841,Mississippi,Covington,35853.93867973217
1734,Texas,Shelby,15149.20099409182
936,Missouri,Daviess,8232.678797311937
1198,North Carolina,Randolph,546736.4810648874
1342,Oklahoma,Hughes,5574.181683404067
352,Georgia,Hart,34957.6093516837
544,Illinois,Morgan,2920.171160417422
1828,Virginia,Bland,20403.64997115783
568,Illinois,Warren,17451.207686484628
81,Arkansas,Ashley,44035.67969531506
1186,North Carolina,Nash,139702.65928914395
51,Alabama,Perry,27258.057355923633
794,Michigan,Macomb,114647.79596316097
885,Mississippi,Scott,12196.097010276404
929,Missouri,Clay,436230.04635394074
95,Arkansas,Craighead,354758.56627275515
248,Florida,Jefferson,38907.88069002342
262,Florida,Okeechobee,53279.12702175401
1449,Tennessee,Crockett,15398.599263547023
1332,Oklahoma,Dewey,2342.4429069689613
396,Georgia,Putnam,588.5684274999298
801,Michigan,Missaukee,15608.94647077544
1555,Texas,Calhoun,193300.92058873022
1781,Utah,Cache,237376.70145115486
700,Louisiana,Lafayette,21313.89560519858
1229,Ohio,Belmont,6800.030329011273
415,Georgia,Thomas,11878.356734807725
989,Missouri,Pulaski,2834.1469972224045
755,Michigan,Berrien,43791.81128764019
330,Georgia,Effingham,157540.89783472926
1294,Ohio,Sandusky,9095.652451094133
82,Arkansas,Baxter,20122.41729430516
706,Louisiana,Natchitoches,5769.493697639942
1425,South Carolina,Pickens,10582.928300312631
1770,Texas,Williamson,8399.126625399438
655,Iowa,Ringgold,37064.185370835185
98,Arkansas,Cross,28443.34905322521
346,Georgia,Gwinnett,32448.165739771335
1524,Tennessee,White,32965.511620879595
472,Idaho,Nez Perce,4995.395922545
729,Maine,Hancock,60864.72166862735
1788,Utah,Grand,10873.1083592457
21,Alabama,Cullman,18857975.591750283
152,Arkansas,Woodruff,17210.569542325033
