,0,1,2
269,Georgia,Evans,15057.568015904026
589,Iowa,Pottawattamie,11704.943985935291
1533,Texas,Crosby,24723.115634946666
1394,Tennessee,Carroll,6457.599112114791
323,Georgia,Oconee,423324.7790390615
1463,Tennessee,Shelby,34056.787556682226
1661,Texas,Parker,25432.288560544795
73,Arizona,Mohave,29051.620178143618
373,Georgia,Wilkinson,71614.59018183776
758,Louisiana,Lincoln,34041.82560900978
1377,South Carolina,Orangeburg,33004.10353315646
115,Arkansas,Johnson,737419.8060507852
1057,Missouri,Webster,27350.485126789896
1539,Texas,Delta,17779.76911175744
1625,Texas,Lipscomb,10199.275935035503
891,Mississippi,Greene,27158.560562063038
1190,Ohio,Columbiana,6319.288682201545
857,Michigan,Osceola,31223.63254728586
1268,Oklahoma,Beckham,129501.30309616002
605,Iowa,Webster,1250693.0808288963
488,Illinois,Pulaski,30299.169094840607
906,Mississippi,Lamar,133032.10094895295
264,Georgia,Early,25149.272361319338
1290,Oklahoma,Grant,8023.118363806465
767,Louisiana,Rapides,388318.9587620802
411,Idaho,Payette,123543.02900547003
1810,Virginia,Greensville,129547.96390469938
965,Missouri,Callaway,4702.908750185162
731,Louisiana,Acadia,7319.115262381446
1203,Ohio,Geauga,12251.350545297852
1505,Texas,Burleson,12519.701191642718
1295,Oklahoma,Hughes,9041.986581595731
819,Michigan,Gratiot,25132.26863703728
1438,Tennessee,Macon,311944.2903022724
1184,Ohio,Butler,78202.1177617322
798,Michigan,Barry,117414.05262385595
788,Massachusetts,Norfolk,14556.104572942197
103,Arkansas,Franklin,6471.88508196576
700,Kentucky,Nelson,30079.882997962275
1880,New Hampshire,Sullivan,31769.13466480351
689,Kentucky,McCracken,113473.14639985235
542,Iowa,Dickinson,56202.952149418765
913,Mississippi,Lowndes,4259.782728061613
470,Illinois,Marshall,116536.02610006272
107,Arkansas,Greene,76791.23877033277
1713,Texas,Walker,23322.35779734048
1515,Texas,Chambers,342468.5228026456
497,Illinois,Shelby,977677.0734453647
840,Michigan,Macomb,15335.401275599328
1704,Texas,Travis,135562.60112943122
970,Missouri,Cass,51838.53619539659
38,Alabama,Lawrence,6875.84217176403
1700,Texas,Terry,12406.36807164591
1755,Utah,Uintah,6960.963243740257
328,Georgia,Pierce,139719.6301723149
1832,Virginia,Nelson,10390.8638715255
1457,Tennessee,Roane,229131.30098835583
297,Georgia,Jenkins,95408.33390503778
237,Georgia,Candler,46533.48693855187
1183,Ohio,Brown,317855.77266328176
1007,Missouri,Lincoln,6069.857158231139
1348,South Carolina,Calhoun,8552.85440189665
496,Illinois,Scott,24273.91237165469
67,Arizona,Coconino,11662.399689445087
1414,Tennessee,Greene,16854.73587102798
1085,North Carolina,Bladen,33389.2733153051
1686,Texas,Shackelford,18820.300050210724
1802,Virginia,Fluvanna,14275.448675828637
214,Florida,Wakulla,15600.177794719732
569,Iowa,Linn,5260.446419259464
1407,Tennessee,Dyer,15177.090747344855
1564,Texas,Gillespie,5582.861415754448
192,Florida,Manatee,24826.97300951486
93,Arkansas,Columbia,29131.422387787603
68,Arizona,Gila,3966.113166748858
864,Michigan,Sanilac,7227.29739999868
862,Michigan,Roscommon,90131.90004519069
1194,Ohio,Darke,60341.68841223513
